order_id,customer,region,amount,order_date
ORD0001,Customer 001,North,120.5,2025-01-01
ORD0002,Customer 002,South,245.0,2025-01-02
ORD0003,Customer 003,East,389.99,2025-01-03
ORD0004,Customer 004,West,512.75,2025-01-04
ORD0005,Customer 005,Central,678.4,2025-01-05
ORD0006,Customer 006,North,734.1,2025-01-06
ORD0007,Customer 007,South,856.65,2025-01-07
ORD0008,Customer 008,East,910.0,2025-01-08
ORD0009,Customer 009,West,1024.35,2025-01-09
ORD0010,Customer 010,Central,1188.88,2025-01-10
ORD0011,Customer 011,North,126.2,2025-01-11
ORD0012,Customer 012,South,275.55,2025-01-12
ORD0013,Customer 013,East,333.33,2025-01-13
ORD0014,Customer 014,West,447.8,2025-01-14
ORD0015,Customer 015,Central,590.6,2025-01-15
ORD0016,Customer 016,North,615.15,2025-01-16
ORD0017,Customer 017,South,702.25,2025-01-17
ORD0018,Customer 018,East,845.9,2025-01-18
ORD0019,Customer 019,West,930.45,2025-01-19
ORD0020,Customer 020,Central,1075.0,2025-01-20
ORD0021,Customer 021,North,119.95,2025-01-21
ORD0022,Customer 022,South,264.4,2025-01-22
ORD0023,Customer 023,East,381.7,2025-01-23
ORD0024,Customer 024,West,499.99,2025-01-24
ORD0025,Customer 025,Central,650.25,2025-01-25
ORD0026,Customer 026,North,120.5,2025-01-26
ORD0027,Customer 027,South,245.0,2025-01-27
ORD0028,Customer 028,East,389.99,2025-01-28
ORD0029,Customer 029,West,512.75,2025-02-01
ORD0030,Customer 030,Central,678.4,2025-02-02
ORD0031,Customer 031,North,734.1,2025-02-03
ORD0032,Customer 032,South,856.65,2025-02-04
ORD0033,Customer 033,East,910.0,2025-02-05
ORD0034,Customer 034,West,1024.35,2025-02-06
ORD0035,Customer 035,Central,1188.88,2025-02-07
ORD0036,Customer 036,North,126.2,2025-02-08
ORD0037,Customer 037,South,275.55,2025-02-09
ORD0038,Customer 038,East,333.33,2025-02-10
ORD0039,Customer 039,West,447.8,2025-02-11
ORD0040,Customer 040,Central,590.6,2025-02-12
ORD0041,Customer 041,North,615.15,2025-02-13
ORD0042,Customer 042,South,702.25,2025-02-14
ORD0043,Customer 043,East,845.9,2025-02-15
ORD0044,Customer 044,West,930.45,2025-02-16
ORD0045,Customer 045,Central,1075.0,2025-02-17
ORD0046,Customer 046,North,119.95,2025-02-18
ORD0047,Customer 047,South,264.4,2025-02-19
ORD0048,Customer 048,East,381.7,2025-02-20
ORD0049,Customer 049,West,499.99,2025-02-21
ORD0050,Customer 050,Central,650.25,2025-02-22
ORD0051,Customer 051,North,120.5,2025-02-23
ORD0052,Customer 052,South,245.0,2025-02-24
ORD0053,Customer 053,East,389.99,2025-02-25
ORD0054,Customer 054,West,512.75,2025-03-01
ORD0055,Customer 055,Central,678.4,2025-03-02
ORD0056,Customer 056,North,734.1,2025-03-03
ORD0057,Customer 057,South,856.65,2025-03-04
ORD0058,Customer 058,East,910.0,2025-03-05
ORD0059,Customer 059,West,1024.35,2025-03-06
ORD0060,Customer 060,Central,1188.88,2025-03-07
ORD0061,Customer 061,North,126.2,2025-03-08
ORD0062,Customer 062,South,275.55,2025-03-09
ORD0063,Customer 063,East,333.33,2025-03-10
ORD0064,Customer 064,West,447.8,2025-03-11
ORD0065,Customer 065,Central,590.6,2025-03-12
ORD0066,Customer 066,North,615.15,2025-03-13
ORD0067,Customer 067,South,702.25,2025-03-14
ORD0068,Customer 068,East,845.9,2025-03-15
ORD0069,Customer 069,West,930.45,2025-03-16
ORD0070,Customer 070,Central,1075.0,2025-03-17
ORD0071,Customer 071,North,119.95,2025-03-18
ORD0072,Customer 072,South,264.4,2025-03-19
ORD0073,Customer 073,East,381.7,2025-03-20
ORD0074,Customer 074,West,499.99,2025-03-21
ORD0075,Customer 075,Central,650.25,2025-03-22
ORD0076,Customer 076,North,120.5,2025-03-23
ORD0077,Customer 077,South,245.0,2025-03-24
ORD0078,Customer 078,East,389.99,2025-03-25
ORD0079,Customer 079,West,512.75,2025-04-01
ORD0080,Customer 080,Central,678.4,2025-04-02
ORD0081,Customer 081,North,734.1,2025-04-03
ORD0082,Customer 082,South,856.65,2025-04-04
ORD0083,Customer 083,East,910.0,2025-04-05
ORD0084,Customer 084,West,1024.35,2025-04-06
ORD0085,Customer 085,Central,1188.88,2025-04-07
ORD0086,Customer 086,North,126.2,2025-04-08
ORD0087,Customer 087,South,275.55,2025-04-09
ORD0088,Customer 088,East,333.33,2025-04-10
ORD0089,Customer 089,West,447.8,2025-04-11
ORD0090,Customer 090,Central,590.6,2025-04-12
ORD0091,Customer 091,North,615.15,2025-04-13
ORD0092,Customer 092,South,702.25,2025-04-14
ORD0093,Customer 093,East,845.9,2025-04-15
ORD0094,Customer 094,West,930.45,2025-04-16
ORD0095,Customer 095,Central,1075.0,2025-04-17
ORD0096,Customer 096,North,119.95,2025-04-18
ORD0097,Customer 097,South,264.4,2025-04-19
ORD0098,Customer 098,East,381.7,2025-04-20
ORD0099,Customer 099,West,499.99,2025-04-21
ORD0100,Customer 100,Central,650.25,2025-04-22
ORD0101,Customer 101,North,120.5,2025-04-23
ORD0102,Customer 102,South,245.0,2025-04-24
ORD0103,Customer 103,East,389.99,2025-04-25
ORD0104,Customer 104,West,512.75,2025-05-01
ORD0105,Customer 105,Central,678.4,2025-05-02
ORD0106,Customer 106,North,734.1,2025-05-03
ORD0107,Customer 107,South,856.65,2025-05-04
ORD0108,Customer 108,East,910.0,2025-05-05
ORD0109,Customer 109,West,1024.35,2025-05-06
ORD0110,Customer 110,Central,1188.88,2025-05-07
ORD0111,Customer 111,North,126.2,2025-05-08
ORD0112,Customer 112,South,275.55,2025-05-09
ORD0113,Customer 113,East,333.33,2025-05-10
ORD0114,Customer 114,West,447.8,2025-05-11
ORD0115,Customer 115,Central,590.6,2025-05-12
