order_id,customer,region,amount,order_date
ORD-1001,Customer 001,North,120.5,2025-01-01
ORD-1002,Customer 002,South,245.0,2025-01-02
ORD-1003,Customer 003,East,89.99,2025-01-03
ORD-1004,Customer 004,West,310.75,2025-01-04
ORD-1005,Customer 005,Central,150.2,2025-01-05
ORD-1006,Customer 006,North,499.99,2025-01-06
ORD-1007,Customer 007,South,275.4,2025-01-07
ORD-1008,Customer 008,East,60.0,2025-01-08
ORD-1009,Customer 009,West,715.1,2025-01-09
ORD-1010,Customer 010,Central,132.45,2025-01-10
ORD-1011,Customer 011,North,980.0,2025-01-11
ORD-1012,Customer 012,South,54.3,2025-01-12
ORD-1013,Customer 013,East,420.42,2025-01-13
ORD-1014,Customer 014,West,260.8,2025-01-14
ORD-1015,Customer 015,Central,145.67,2025-01-15
ORD-1016,Customer 016,North,389.9,2025-01-16
ORD-1017,Customer 017,South,222.22,2025-01-17
ORD-1018,Customer 018,East,640.0,2025-01-18
ORD-1019,Customer 019,West,78.55,2025-01-19
ORD-1020,Customer 020,Central,555.5,2025-01-20
ORD-1021,Customer 021,North,199.95,2025-01-21
ORD-1022,Customer 022,South,860.75,2025-01-22
ORD-1023,Customer 023,East,315.33,2025-01-23
ORD-1024,Customer 024,West,48.99,2025-01-24
ORD-1025,Customer 025,Central,707.07,2025-01-25
ORD-1026,Customer 001,North,125.5,2025-02-01
ORD-1027,Customer 002,South,250.0,2025-02-02
ORD-1028,Customer 003,East,94.99,2025-02-03
ORD-1029,Customer 004,West,315.75,2025-02-04
ORD-1030,Customer 005,Central,155.2,2025-02-05
ORD-1031,Customer 006,North,504.99,2025-02-06
ORD-1032,Customer 007,South,280.4,2025-02-07
ORD-1033,Customer 008,East,65.0,2025-02-08
ORD-1034,Customer 009,West,720.1,2025-02-09
ORD-1035,Customer 010,Central,137.45,2025-02-10
ORD-1036,Customer 011,North,985.0,2025-02-11
ORD-1037,Customer 012,South,59.3,2025-02-12
ORD-1038,Customer 013,East,425.42,2025-02-13
ORD-1039,Customer 014,West,265.8,2025-02-14
ORD-1040,Customer 015,Central,150.67,2025-02-15
ORD-1041,Customer 016,North,394.9,2025-02-16
ORD-1042,Customer 017,South,227.22,2025-02-17
ORD-1043,Customer 018,East,645.0,2025-02-18
ORD-1044,Customer 019,West,83.55,2025-02-19
ORD-1045,Customer 020,Central,560.5,2025-02-20
ORD-1046,Customer 021,North,204.95,2025-02-21
ORD-1047,Customer 022,South,865.75,2025-02-22
ORD-1048,Customer 023,East,320.33,2025-02-23
ORD-1049,Customer 024,West,53.99,2025-02-24
ORD-1050,Customer 025,Central,712.07,2025-02-25
ORD-1051,Customer 001,North,130.5,2025-03-01
ORD-1052,Customer 002,South,255.0,2025-03-02
ORD-1053,Customer 003,East,99.99,2025-03-03
ORD-1054,Customer 004,West,320.75,2025-03-04
ORD-1055,Customer 005,Central,160.2,2025-03-05
ORD-1056,Customer 006,North,509.99,2025-03-06
ORD-1057,Customer 007,South,285.4,2025-03-07
ORD-1058,Customer 008,East,70.0,2025-03-08
ORD-1059,Customer 009,West,725.1,2025-03-09
ORD-1060,Customer 010,Central,142.45,2025-03-10
ORD-1061,Customer 011,North,990.0,2025-03-11
ORD-1062,Customer 012,South,64.3,2025-03-12
ORD-1063,Customer 013,East,430.42,2025-03-13
ORD-1064,Customer 014,West,270.8,2025-03-14
ORD-1065,Customer 015,Central,155.67,2025-03-15
ORD-1066,Customer 016,North,399.9,2025-03-16
ORD-1067,Customer 017,South,232.22,2025-03-17
ORD-1068,Customer 018,East,650.0,2025-03-18
ORD-1069,Customer 019,West,88.55,2025-03-19
ORD-1070,Customer 020,Central,565.5,2025-03-20
ORD-1071,Customer 021,North,209.95,2025-03-21
ORD-1072,Customer 022,South,870.75,2025-03-22
ORD-1073,Customer 023,East,325.33,2025-03-23
ORD-1074,Customer 024,West,58.99,2025-03-24
ORD-1075,Customer 025,Central,717.07,2025-03-25
ORD-1076,Customer 001,North,135.5,2025-04-01
ORD-1077,Customer 002,South,260.0,2025-04-02
ORD-1078,Customer 003,East,104.99,2025-04-03
ORD-1079,Customer 004,West,325.75,2025-04-04
ORD-1080,Customer 005,Central,165.2,2025-04-05
ORD-1081,Customer 006,North,514.99,2025-04-06
ORD-1082,Customer 007,South,290.4,2025-04-07
ORD-1083,Customer 008,East,75.0,2025-04-08
ORD-1084,Customer 009,West,730.1,2025-04-09
ORD-1085,Customer 010,Central,147.45,2025-04-10
ORD-1086,Customer 011,North,995.0,2025-04-11
ORD-1087,Customer 012,South,69.3,2025-04-12
ORD-1088,Customer 013,East,435.42,2025-04-13
ORD-1089,Customer 014,West,275.8,2025-04-14
ORD-1090,Customer 015,Central,160.67,2025-04-15
ORD-1091,Customer 016,North,404.9,2025-04-16
ORD-1092,Customer 017,South,237.22,2025-04-17
ORD-1093,Customer 018,East,655.0,2025-04-18
ORD-1094,Customer 019,West,93.55,2025-04-19
ORD-1095,Customer 020,Central,570.5,2025-04-20
ORD-1096,Customer 021,North,214.95,2025-04-21
ORD-1097,Customer 022,South,875.75,2025-04-22
ORD-1098,Customer 023,East,330.33,2025-04-23
ORD-1099,Customer 024,West,63.99,2025-04-24
ORD-1100,Customer 025,Central,722.07,2025-04-25
ORD-1101,Customer 001,North,140.5,2025-05-01
ORD-1102,Customer 002,South,265.0,2025-05-02
ORD-1103,Customer 003,East,109.99,2025-05-03
ORD-1104,Customer 004,West,330.75,2025-05-04
ORD-1105,Customer 005,Central,170.2,2025-05-05
ORD-1106,Customer 006,North,519.99,2025-05-06
ORD-1107,Customer 007,South,295.4,2025-05-07
ORD-1108,Customer 008,East,80.0,2025-05-08
ORD-1109,Customer 009,West,735.1,2025-05-09
ORD-1110,Customer 010,Central,152.45,2025-05-10
ORD-1111,Customer 011,North,1000.0,2025-05-11
ORD-1112,Customer 012,South,74.3,2025-05-12
ORD-1113,Customer 013,East,440.42,2025-05-13
ORD-1114,Customer 014,West,280.8,2025-05-14
ORD-1115,Customer 015,Central,165.67,2025-05-15
ORD-1116,Customer 016,North,409.9,2025-05-16
ORD-1117,Customer 017,South,242.22,2025-05-17
ORD-1118,Customer 018,East,660.0,2025-05-18
ORD-1119,Customer 019,West,98.55,2025-05-19
ORD-1120,Customer 020,Central,575.5,2025-05-20
ORD-1121,Customer 021,North,219.95,2025-05-21
ORD-1122,Customer 022,South,880.75,2025-05-22
ORD-1123,Customer 023,East,335.33,2025-05-23
ORD-1124,Customer 024,West,68.99,2025-05-24
ORD-1125,Customer 025,Central,727.07,2025-05-25
ORD-1126,Customer 001,North,145.5,2025-06-01
ORD-1127,Customer 002,South,270.0,2025-06-02
ORD-1128,Customer 003,East,114.99,2025-06-03
ORD-1129,Customer 004,West,335.75,2025-06-04
ORD-1130,Customer 005,Central,175.2,2025-06-05
ORD-1131,Customer 006,North,524.99,2025-06-06
ORD-1132,Customer 007,South,300.4,2025-06-07
ORD-1133,Customer 008,East,85.0,2025-06-08
ORD-1134,Customer 009,West,740.1,2025-06-09
ORD-1135,Customer 010,Central,157.45,2025-06-10
ORD-1136,Customer 011,North,1005.0,2025-06-11
ORD-1137,Customer 012,South,79.3,2025-06-12
ORD-1138,Customer 013,East,445.42,2025-06-13
ORD-1139,Customer 014,West,285.8,2025-06-14
ORD-1140,Customer 015,Central,170.67,2025-06-15
ORD-1141,Customer 016,North,414.9,2025-06-16
ORD-1142,Customer 017,South,247.22,2025-06-17
ORD-1143,Customer 018,East,665.0,2025-06-18
ORD-1144,Customer 019,West,103.55,2025-06-19
ORD-1145,Customer 020,Central,580.5,2025-06-20
ORD-1146,Customer 021,North,224.95,2025-06-21
ORD-1147,Customer 022,South,885.75,2025-06-22
ORD-1148,Customer 023,East,340.33,2025-06-23
