order_id,customer,amount
ORD-0001,Customer 001,49.99
ORD-0002,Customer 002,79.5
ORD-0003,Customer 003,120.0
ORD-0004,Customer 004,15.75
ORD-0005,Customer 005,230.4
ORD-0006,Customer 006,89.99
ORD-0007,Customer 007,310.25
ORD-0008,Customer 008,45.0
ORD-0009,Customer 009,150.6
ORD-0010,Customer 010,999.99
ORD-0011,Customer 011,49.99
ORD-0012,Customer 012,79.5
ORD-0013,Customer 013,120.0
ORD-0014,Customer 014,15.75
ORD-0015,Customer 015,230.4
ORD-0016,Customer 016,89.99
ORD-0017,Customer 017,310.25
ORD-0018,Customer 018,45.0
ORD-0019,Customer 019,150.6
ORD-0020,Customer 020,999.99
ORD-0021,Customer 021,49.99
ORD-0022,Customer 022,79.5
ORD-0023,Customer 023,120.0
ORD-0024,Customer 024,15.75
ORD-0025,Customer 025,230.4
ORD-0026,Customer 026,89.99
ORD-0027,Customer 027,310.25
ORD-0028,Customer 028,45.0
ORD-0029,Customer 029,150.6
ORD-0030,Customer 030,999.99
ORD-0031,Customer 031,49.99
ORD-0032,Customer 032,79.5
ORD-0033,Customer 033,120.0
ORD-0034,Customer 034,15.75
ORD-0035,Customer 035,230.4
ORD-0036,Customer 036,89.99
ORD-0037,Customer 037,310.25
ORD-0038,Customer 038,45.0
ORD-0039,Customer 039,150.6
ORD-0040,Customer 040,999.99
ORD-0041,Customer 041,49.99
ORD-0042,Customer 042,79.5
ORD-0043,Customer 043,120.0
ORD-0044,Customer 044,15.75
ORD-0045,Customer 045,230.4
ORD-0046,Customer 046,89.99
ORD-0047,Customer 047,310.25
ORD-0048,Customer 048,45.0
ORD-0049,Customer 049,150.6
ORD-0050,Customer 050,999.99
ORD-0051,Customer 051,49.99
ORD-0052,Customer 052,79.5
ORD-0053,Customer 053,120.0
ORD-0054,Customer 054,15.75
ORD-0055,Customer 055,230.4
ORD-0056,Customer 056,89.99
ORD-0057,Customer 057,310.25
ORD-0058,Customer 058,45.0
ORD-0059,Customer 059,150.6
ORD-0060,Customer 060,999.99
ORD-0061,Customer 061,49.99
ORD-0062,Customer 062,79.5
ORD-0063,Customer 063,120.0
ORD-0064,Customer 064,15.75
ORD-0065,Customer 065,230.4
ORD-0066,Customer 066,89.99
ORD-0067,Customer 067,310.25
ORD-0068,Customer 068,45.0
ORD-0069,Customer 069,150.6
ORD-0070,Customer 070,999.99
ORD-0071,Customer 071,49.99
ORD-0072,Customer 072,79.5
ORD-0073,Customer 073,120.0
ORD-0074,Customer 074,15.75
ORD-0075,Customer 075,230.4
ORD-0076,Customer 076,89.99
ORD-0077,Customer 077,310.25
ORD-0078,Customer 078,45.0
ORD-0079,Customer 079,150.6
ORD-0080,Customer 080,999.99
ORD-0081,Customer 081,49.99
ORD-0082,Customer 082,79.5
ORD-0083,Customer 083,120.0
ORD-0084,Customer 084,15.75
ORD-0085,Customer 085,230.4
ORD-0086,Customer 086,89.99
ORD-0087,Customer 087,310.25
ORD-0088,Customer 088,45.0
ORD-0089,Customer 089,150.6
ORD-0090,Customer 090,999.99
ORD-0091,Customer 091,49.99
ORD-0092,Customer 092,79.5
ORD-0093,Customer 093,120.0
ORD-0094,Customer 094,15.75
ORD-0095,Customer 095,230.4
ORD-0096,Customer 096,89.99
ORD-0097,Customer 097,310.25
ORD-0098,Customer 098,45.0
ORD-0099,Customer 099,150.6
ORD-0100,Customer 100,999.99
ORD-0101,Customer 101,49.99
ORD-0102,Customer 102,79.5
ORD-0103,Customer 103,120.0
ORD-0104,Customer 104,15.75
ORD-0105,Customer 105,230.4
ORD-0106,Customer 106,89.99
ORD-0107,Customer 107,310.25
ORD-0108,Customer 108,45.0
ORD-0109,Customer 109,150.6
ORD-0110,Customer 110,999.99
ORD-0111,Customer 111,49.99
ORD-0112,Customer 112,79.5
ORD-0113,Customer 113,120.0
ORD-0114,Customer 114,15.75
ORD-0115,Customer 115,230.4
ORD-0116,Customer 116,89.99
ORD-0117,Customer 117,310.25
ORD-0118,Customer 118,45.0
ORD-0119,Customer 119,150.6
ORD-0120,Customer 120,999.99
ORD-0121,Customer 121,49.99
ORD-0122,Customer 122,79.5
ORD-0123,Customer 123,120.0
ORD-0124,Customer 124,15.75
ORD-0125,Customer 125,230.4
ORD-0126,Customer 126,89.99
ORD-0127,Customer 127,310.25
ORD-0128,Customer 128,45.0
ORD-0129,Customer 129,150.6
ORD-0130,Customer 130,999.99
