order_id,customer,region,amount,order_date
ORD-0001,Acme Corp,North,1250.45,2025-01-03
ORD-0002,Bright Retail,South,842.1,2025-01-04
ORD-0003,Cedar Logistics,East,2310.99,2025-01-05
ORD-0004,Delta Stores,West,499.5,2025-01-06
ORD-0005,Evergreen LLC,North,1765.0,2025-01-07
ORD-0006,Falcon Industries,South,920.75,2025-01-08
ORD-0007,Golden Market,East,3105.2,2025-01-09
ORD-0008,Harbor Supplies,West,1578.35,2025-01-10
ORD-0009,Ion Tech,North,689.99,2025-01-11
ORD-0010,Juniper Goods,South,2450.0,2025-01-12
ORD-0011,Keystone Partners,East,1333.33,2025-01-13
ORD-0012,Lighthouse Co,West,2789.49,2025-01-14
ORD-0013,Maple Ventures,North,1140.2,2025-01-15
ORD-0014,Nimbus Trading,South,3675.8,2025-01-16
ORD-0015,Oak & Pine,East,520.6,2025-01-17
ORD-0016,Pioneer Wholesale,West,1945.15,2025-01-18
ORD-0017,Quartz Systems,North,2870.4,2025-01-19
ORD-0018,Riverbend Shop,South,760.0,2025-01-20
ORD-0019,Summit Group,East,4125.9,2025-01-21
ORD-0020,Timberline Inc,West,980.55,2025-01-22
ORD-0021,Urban Outfitters Hub,North,2210.1,2025-01-23
ORD-0022,Vista Holdings,South,1450.75,2025-01-24
ORD-0023,Willow Creek,East,635.4,2025-01-25
ORD-0024,Xeno Distribution,West,3899.99,2025-01-26
ORD-0025,Yellow Brick Sales,North,1744.2,2025-01-27
ORD-0026,Zenith Works,South,2560.6,2025-01-28
ORD-0027,Apex Traders,East,845.35,2025-01-29
ORD-0028,BlueWave Retail,West,1900.0,2025-01-30
ORD-0029,Crimson Supply,North,2999.95,2025-01-31
ORD-0030,Driftwood Market,South,1205.8,2025-02-01
ORD-0031,Elm Street Goods,East,710.25,2025-02-02
ORD-0032,Frontier Outlet,West,3320.4,2025-02-03
ORD-0033,Granite Sales,North,1540.0,2025-02-04
ORD-0034,Highland Mercantile,South,2688.18,2025-02-05
ORD-0035,Ivory Enterprises,East,930.9,2025-02-06
ORD-0036,Jetstream Ltd,West,4810.0,2025-02-07
ORD-0037,Kingfisher Goods,North,1122.45,2025-02-08
ORD-0038,Liberty Traders,South,2075.3,2025-02-09
ORD-0039,Monarch Supply,East,355.75,2025-02-10
ORD-0040,Northstar Depot,West,2640.6,2025-02-11
ORD-0041,Orchid Global,North,1788.88,2025-02-12
ORD-0042,Prairie Goods,South,990.45,2025-02-13
ORD-0043,Quantum Retail,East,1425.0,2025-02-14
ORD-0044,Redwood Supply,West,2233.7,2025-02-15
ORD-0045,Silverline Co,North,610.6,2025-02-16
ORD-0046,Topaz Trading,South,3750.25,2025-02-17
ORD-0047,Union Market,East,1840.95,2025-02-18
ORD-0048,Valley Wholesale,West,275.0,2025-02-19
ORD-0049,Westport Goods,North,3199.49,2025-02-20
ORD-0050,Yorktown Retail,South,1288.8,2025-02-21
ORD-0051,Zen Garden Supply,East,1599.99,2025-02-22
ORD-0052,Amber Lane,West,2420.1,2025-02-23
ORD-0053,Birch & Co,North,865.45,2025-02-24
ORD-0054,Cascade Outfitters,South,4110.0,2025-02-25
ORD-0055,Denali Goods,East,1375.25,2025-02-26
ORD-0056,Echo Valley,West,620.8,2025-02-27
ORD-0057,Forestline Sales,North,2888.3,2025-02-28
ORD-0058,Glacier Point,South,915.95,2025-03-01
ORD-0059,Horizon Trade,East,1730.4,2025-03-02
ORD-0060,Ironwood Retail,West,3522.75,2025-03-03
ORD-0061,Jade Harbor,North,440.2,2025-03-04
ORD-0062,Kodiak Supply,South,2666.6,2025-03-05
ORD-0063,Lakemont Goods,East,1210.0,2025-03-06
ORD-0064,Mesa Trading,West,1899.5,2025-03-07
ORD-0065,Northfield Market,North,3075.9,2025-03-08
ORD-0066,Oakridge Depot,South,799.99,2025-03-09
ORD-0067,Parkside Global,East,2505.45,2025-03-10
