order_id,customer,region,amount,order_date
ORD-0001,Acme Retail,North,1250.75,2025-01-03
ORD-0002,BlueWave Stores,South,842.1,2025-01-04
ORD-0003,Cedar & Co,East,1999.99,2025-01-05
ORD-0004,Delta Traders,West,430.5,2025-01-06
ORD-0005,Evergreen Market,Central,1575.2,2025-01-07
ORD-0006,Falcon Goods,North,689.35,2025-01-08
ORD-0007,Granite Supply,South,2450,2025-01-09
ORD-0008,Harbor Shop,East,118.95,2025-01-10
ORD-0009,Ion Ventures,West,980.4,2025-01-11
ORD-0010,Juniper Sales,Central,3120.88,2025-01-12
ORD-0011,Keystone Retail,North,764.22,2025-01-13
ORD-0012,Lumen Wholesale,South,1425.67,2025-01-14
ORD-0013,Maple Merchants,East,2210.1,2025-01-15
ORD-0014,Nimbus Goods,West,556.78,2025-01-16
ORD-0015,Oakridge Outlet,Central,1678.45,2025-01-17
ORD-0016,Pioneer Retailers,North,2899.3,2025-01-18
ORD-0017,Quantum Supply,South,340.2,2025-01-19
ORD-0018,Riverbend Shop,East,905.55,2025-01-20
ORD-0019,Summit Goods,West,1299.99,2025-01-21
ORD-0020,Timberline Market,Central,478.65,2025-01-22
ORD-0021,Urban Axis,North,1520,2025-01-23
ORD-0022,Vista Retail,South,815.42,2025-01-24
ORD-0023,Willow Traders,East,2311.76,2025-01-25
ORD-0024,Xeno Supply,West,692.3,2025-01-26
ORD-0025,Yellow Brick Sales,Central,1045.89,2025-01-27
ORD-0026,Zenith Market,North,2760.45,2025-01-28
ORD-0027,Apex Commerce,South,588.12,2025-01-29
ORD-0028,Brightline Goods,East,1744,2025-01-30
ORD-0029,Cobalt Retail,West,933.67,2025-01-31
ORD-0030,Driftwood Supply,Central,1490.25,2025-02-01
ORD-0031,Elm Street Market,North,3250.9,2025-02-02
ORD-0032,Frontier Goods,South,410.75,2025-02-03
ORD-0033,Golden Grove,East,1188.4,2025-02-04
ORD-0034,Highland Retail,West,2655.18,2025-02-05
ORD-0035,Indigo Supply,Central,799.99,2025-02-06
ORD-0036,Jetstream Traders,North,1360.6,2025-02-07
ORD-0037,Kingfisher Sales,South,540.33,2025-02-08
ORD-0038,Lakeside Outlet,East,1902.74,2025-02-09
ORD-0039,Moonrise Market,West,845.5,2025-02-10
ORD-0040,Northstar Goods,Central,220.19,2025-02-11
ORD-0041,Orbit Wholesale,North,1578.8,2025-02-12
ORD-0042,Peak Retail,South,2999.95,2025-02-13
ORD-0043,Quarry Supply,East,670.44,2025-02-14
ORD-0044,Redwood Traders,West,1125.73,2025-02-15
ORD-0045,Silverline Shop,Central,485.6,2025-02-16
ORD-0046,Topaz Market,North,1789.2,2025-02-17
ORD-0047,Union Sales,South,920.88,2025-02-18
ORD-0048,Valley Goods,East,2444.11,2025-02-19
ORD-0049,Westport Retail,West,635.27,2025-02-20
ORD-0050,Yorktown Supply,Central,1542.36,2025-02-21
ORD-0051,Amber House,North,710.14,2025-02-22
ORD-0052,Bayshore Commerce,South,2075.5,2025-02-23
ORD-0053,Crosswind Goods,East,389.92,2025-02-24
ORD-0054,Duneline Retail,West,1288.83,2025-02-25
ORD-0055,Eastfield Market,Central,950,2025-02-26
ORD-0056,Fairview Supply,North,2633.41,2025-02-27
ORD-0057,Greenstone Traders,South,577.7,2025-02-28
ORD-0058,Hillcrest Sales,East,1466.66,2025-03-01
ORD-0059,Ironwood Goods,West,3320.05,2025-03-02
ORD-0060,Jade Retail,Central,805.18,2025-03-03
ORD-0061,Kitewave Market,North,1219.44,2025-03-04
ORD-0062,Longview Supply,South,455.5,2025-03-05
ORD-0063,Meadowbrook Shop,East,1750.29,2025-03-06
ORD-0064,Northgate Traders,West,690.9,2025-03-07
ORD-0065,Oakmont Goods,Central,1395.77,2025-03-08
ORD-0066,Parkside Retail,North,2478.65,2025-03-09
ORD-0067,Quickline Supply,South,522.22,2025-03-10
ORD-0068,Rosewood Market,East,1104.39,2025-03-11
ORD-0069,Stonebridge Sales,West,841.73,2025-03-12
ORD-0070,Trailhead Goods,Central,1960,2025-03-13
ORD-0071,Umber Retail,North,605.84,2025-03-14
ORD-0072,Vertex Supply,South,2875.16,2025-03-15
