order_id,customer,region,amount,order_date
ORD0001,Customer 001,North,125.5,2025-01-02
ORD0002,Customer 002,South,230.75,2025-01-03
ORD0003,Customer 003,East,89.99,2025-01-04
ORD0004,Customer 004,West,450.0,2025-01-05
ORD0005,Customer 005,Central,312.4,2025-01-06
ORD0006,Customer 006,North,178.25,2025-01-07
ORD0007,Customer 007,South,520.1,2025-01-08
ORD0008,Customer 008,East,67.3,2025-01-09
ORD0009,Customer 009,West,905.6,2025-01-10
ORD0010,Customer 010,Central,241.8,2025-01-11
ORD0011,Customer 011,North,125.5,2025-01-12
ORD0012,Customer 012,South,230.75,2025-01-13
ORD0013,Customer 013,East,89.99,2025-01-14
ORD0014,Customer 014,West,450.0,2025-01-15
ORD0015,Customer 015,Central,312.4,2025-01-16
ORD0016,Customer 016,North,178.25,2025-01-17
ORD0017,Customer 017,South,520.1,2025-01-18
ORD0018,Customer 018,East,67.3,2025-01-19
ORD0019,Customer 019,West,905.6,2025-01-20
ORD0020,Customer 020,Central,241.8,2025-01-21
ORD0021,Customer 021,North,125.5,2025-01-22
ORD0022,Customer 022,South,230.75,2025-01-23
ORD0023,Customer 023,East,89.99,2025-01-24
ORD0024,Customer 024,West,450.0,2025-01-25
ORD0025,Customer 025,Central,312.4,2025-01-26
ORD0026,Customer 026,North,178.25,2025-01-02
ORD0027,Customer 027,South,520.1,2025-01-03
ORD0028,Customer 028,East,67.3,2025-01-04
ORD0029,Customer 029,West,905.6,2025-01-05
ORD0030,Customer 030,Central,241.8,2025-01-06
ORD0031,Customer 031,North,125.5,2025-01-07
ORD0032,Customer 032,South,230.75,2025-01-08
ORD0033,Customer 033,East,89.99,2025-01-09
ORD0034,Customer 034,West,450.0,2025-01-10
ORD0035,Customer 035,Central,312.4,2025-01-11
ORD0036,Customer 036,North,178.25,2025-01-12
ORD0037,Customer 037,South,520.1,2025-01-13
ORD0038,Customer 038,East,67.3,2025-01-14
ORD0039,Customer 039,West,905.6,2025-01-15
ORD0040,Customer 040,Central,241.8,2025-01-16
ORD0041,Customer 041,North,125.5,2025-01-17
ORD0042,Customer 042,South,230.75,2025-01-18
ORD0043,Customer 043,East,89.99,2025-01-19
ORD0044,Customer 044,West,450.0,2025-01-20
ORD0045,Customer 045,Central,312.4,2025-01-21
ORD0046,Customer 046,North,178.25,2025-01-22
ORD0047,Customer 047,South,520.1,2025-01-23
ORD0048,Customer 048,East,67.3,2025-01-24
ORD0049,Customer 049,West,905.6,2025-01-25
ORD0050,Customer 050,Central,241.8,2025-01-26
ORD0051,Customer 051,North,125.5,2025-01-02
ORD0052,Customer 052,South,230.75,2025-01-03
ORD0053,Customer 053,East,89.99,2025-01-04
ORD0054,Customer 054,West,450.0,2025-01-05
ORD0055,Customer 055,Central,312.4,2025-01-06
ORD0056,Customer 056,North,178.25,2025-01-07
ORD0057,Customer 057,South,520.1,2025-01-08
ORD0058,Customer 058,East,67.3,2025-01-09
ORD0059,Customer 059,West,905.6,2025-01-10
ORD0060,Customer 060,Central,241.8,2025-01-11
ORD0061,Customer 061,North,125.5,2025-01-12
ORD0062,Customer 062,South,230.75,2025-01-13
ORD0063,Customer 063,East,89.99,2025-01-14
ORD0064,Customer 064,West,450.0,2025-01-15
ORD0065,Customer 065,Central,312.4,2025-01-16
ORD0066,Customer 066,North,178.25,2025-01-17
ORD0067,Customer 067,South,520.1,2025-01-18
ORD0068,Customer 068,East,67.3,2025-01-19
ORD0069,Customer 069,West,905.6,2025-01-20
ORD0070,Customer 070,Central,241.8,2025-01-21
ORD0071,Customer 071,North,125.5,2025-01-22
ORD0072,Customer 072,South,230.75,2025-01-23
ORD0073,Customer 073,East,89.99,2025-01-24
ORD0074,Customer 074,West,450.0,2025-01-25
ORD0075,Customer 075,Central,312.4,2025-01-26
ORD0076,Customer 076,North,178.25,2025-01-02
ORD0077,Customer 077,South,520.1,2025-01-03
ORD0078,Customer 078,East,67.3,2025-01-04
ORD0079,Customer 079,West,905.6,2025-01-05
ORD0080,Customer 080,Central,241.8,2025-01-06
ORD0081,Customer 081,North,125.5,2025-01-07
ORD0082,Customer 082,South,230.75,2025-01-08
ORD0083,Customer 083,East,89.99,2025-01-09
ORD0084,Customer 084,West,450.0,2025-01-10
ORD0085,Customer 085,Central,312.4,2025-01-11
ORD0086,Customer 086,North,178.25,2025-01-12
ORD0087,Customer 087,South,520.1,2025-01-13
ORD0088,Customer 088,East,67.3,2025-01-14
ORD0089,Customer 089,West,905.6,2025-01-15
ORD0090,Customer 090,Central,241.8,2025-01-16
ORD0091,Customer 091,North,125.5,2025-01-17
ORD0092,Customer 092,South,230.75,2025-01-18
ORD0093,Customer 093,East,89.99,2025-01-19
ORD0094,Customer 094,West,450.0,2025-01-20
ORD0095,Customer 095,Central,312.4,2025-01-21
ORD0096,Customer 096,North,178.25,2025-01-22
ORD0097,Customer 097,South,520.1,2025-01-23
ORD0098,Customer 098,East,67.3,2025-01-24
ORD0099,Customer 099,West,905.6,2025-01-25
ORD0100,Customer 100,Central,241.8,2025-01-26
ORD0101,Customer 101,North,125.5,2025-01-02
ORD0102,Customer 102,South,230.75,2025-01-03
ORD0103,Customer 103,East,89.99,2025-01-04
ORD0104,Customer 104,West,450.0,2025-01-05
ORD0105,Customer 105,Central,312.4,2025-01-06
ORD0106,Customer 106,North,178.25,2025-01-07
ORD0107,Customer 107,South,520.1,2025-01-08
ORD0108,Customer 108,East,67.3,2025-01-09
ORD0109,Customer 109,West,905.6,2025-01-10
ORD0110,Customer 110,Central,241.8,2025-01-11
ORD0111,Customer 111,North,125.5,2025-01-12
ORD0112,Customer 112,South,230.75,2025-01-13
ORD0113,Customer 113,East,89.99,2025-01-14
ORD0114,Customer 114,West,450.0,2025-01-15
ORD0115,Customer 115,Central,312.4,2025-01-16
ORD0116,Customer 116,North,178.25,2025-01-17
ORD0117,Customer 117,South,520.1,2025-01-18
ORD0118,Customer 118,East,67.3,2025-01-19
ORD0119,Customer 119,West,905.6,2025-01-20
ORD0120,Customer 120,Central,241.8,2025-01-21
ORD0121,Customer 121,North,125.5,2025-01-22
ORD0122,Customer 122,South,230.75,2025-01-23
ORD0123,Customer 123,East,89.99,2025-01-24
ORD0124,Customer 124,West,450.0,2025-01-25
ORD0125,Customer 125,Central,312.4,2025-01-26
ORD0126,Customer 126,North,178.25,2025-01-02
ORD0127,Customer 127,South,520.1,2025-01-03
ORD0128,Customer 128,East,67.3,2025-01-04
ORD0129,Customer 129,West,905.6,2025-01-05
ORD0130,Customer 130,Central,241.8,2025-01-06
ORD0131,Customer 131,North,125.5,2025-01-07
ORD0132,Customer 132,South,230.75,2025-01-08
ORD0133,Customer 133,East,89.99,2025-01-09
ORD0134,Customer 134,West,450.0,2025-01-10
ORD0135,Customer 135,Central,312.4,2025-01-11
ORD0136,Customer 136,North,178.25,2025-01-12
ORD0137,Customer 137,South,520.1,2025-01-13
ORD0138,Customer 138,East,67.3,2025-01-14
ORD0139,Customer 139,West,905.6,2025-01-15
ORD0140,Customer 140,Central,241.8,2025-01-16
ORD0141,Customer 141,North,125.5,2025-01-17
ORD0142,Customer 142,South,230.75,2025-01-18
ORD0143,Customer 143,East,89.99,2025-01-19
