order_id,customer,amount
ORD-0001,Customer 001,125.47
ORD-0002,Customer 002,248.19
ORD-0003,Customer 003,89.95
ORD-0004,Customer 004,412.3
ORD-0005,Customer 005,76.84
ORD-0006,Customer 006,539.12
ORD-0007,Customer 007,310.44
ORD-0008,Customer 008,158.67
ORD-0009,Customer 009,697.23
ORD-0010,Customer 010,221.5
ORD-0011,Customer 011,145.76
ORD-0012,Customer 012,384.91
ORD-0013,Customer 013,92.18
ORD-0014,Customer 014,473.65
ORD-0015,Customer 015,267.39
ORD-0016,Customer 016,118.22
ORD-0017,Customer 017,556.8
ORD-0018,Customer 018,341.17
ORD-0019,Customer 019,199.99
ORD-0020,Customer 020,728.41
ORD-0021,Customer 021,134.58
ORD-0022,Customer 022,286.73
ORD-0023,Customer 023,64.49
ORD-0024,Customer 024,495.26
ORD-0025,Customer 025,173.88
ORD-0026,Customer 026,620.14
ORD-0027,Customer 027,259.37
ORD-0028,Customer 028,147.95
ORD-0029,Customer 029,803.62
ORD-0030,Customer 030,214.11
ORD-0031,Customer 031,98.74
ORD-0032,Customer 032,431.59
ORD-0033,Customer 033,185.63
ORD-0034,Customer 034,712.08
ORD-0035,Customer 035,276.45
ORD-0036,Customer 036,124.83
ORD-0037,Customer 037,587.91
ORD-0038,Customer 038,333.28
ORD-0039,Customer 039,159.46
ORD-0040,Customer 040,649.77
ORD-0041,Customer 041,241.92
ORD-0042,Customer 042,107.35
ORD-0043,Customer 043,468.14
ORD-0044,Customer 044,193.87
ORD-0045,Customer 045,754.3
ORD-0046,Customer 046,285.66
ORD-0047,Customer 047,139.24
ORD-0048,Customer 048,522.08
ORD-0049,Customer 049,318.75
ORD-0050,Customer 050,169.53
ORD-0051,Customer 051,691.42
ORD-0052,Customer 052,252.16
ORD-0053,Customer 053,115.89
ORD-0054,Customer 054,447.73
ORD-0055,Customer 055,208.64
ORD-0056,Customer 056,779.95
ORD-0057,Customer 057,294.31
ORD-0058,Customer 058,151.48
ORD-0059,Customer 059,563.27
ORD-0060,Customer 060,327.84
ORD-0061,Customer 061,178.22
ORD-0062,Customer 062,734.56
ORD-0063,Customer 063,263.9
ORD-0064,Customer 064,121.67
ORD-0065,Customer 065,489.35
ORD-0066,Customer 066,216.74
ORD-0067,Customer 067,818.19
ORD-0068,Customer 068,301.52
ORD-0069,Customer 069,143.96
ORD-0070,Customer 070,548.61
ORD-0071,Customer 071,336.45
ORD-0072,Customer 072,187.13
ORD-0073,Customer 073,702.88
ORD-0074,Customer 074,274.59
ORD-0075,Customer 075,129.41
ORD-0076,Customer 076,465.22
ORD-0077,Customer 077,223.18
ORD-0078,Customer 078,791.64
ORD-0079,Customer 079,309.87
ORD-0080,Customer 080,156.29
ORD-0081,Customer 081,576.93
ORD-0082,Customer 082,344.76
ORD-0083,Customer 083,196.54
ORD-0084,Customer 084,745.11
ORD-0085,Customer 085,281.43
ORD-0086,Customer 086,133.72
ORD-0087,Customer 087,501.68
ORD-0088,Customer 088,231.95
ORD-0089,Customer 089,829.37
ORD-0090,Customer 090,316.24
ORD-0091,Customer 091,148.81
ORD-0092,Customer 092,561.49
ORD-0093,Customer 093,352.17
ORD-0094,Customer 094,204.63
ORD-0095,Customer 095,718.92
ORD-0096,Customer 096,289.54
ORD-0097,Customer 097,137.66
ORD-0098,Customer 098,478.25
ORD-0099,Customer 099,239.18
ORD-0100,Customer 100,842.73
ORD-0101,Customer 101,123.56
ORD-0102,Customer 102,257.41
ORD-0103,Customer 103,91.22
ORD-0104,Customer 104,418.67
ORD-0105,Customer 105,174.35
ORD-0106,Customer 106,638.94
ORD-0107,Customer 107,295.16
ORD-0108,Customer 108,149.73
ORD-0109,Customer 109,784.58
ORD-0110,Customer 110,226.84
ORD-0111,Customer 111,104.97
ORD-0112,Customer 112,452.31
ORD-0113,Customer 113,186.49
ORD-0114,Customer 114,721.63
ORD-0115,Customer 115,268.25
ORD-0116,Customer 116,126.58
ORD-0117,Customer 117,593.47
ORD-0118,Customer 118,338.92
ORD-0119,Customer 119,161.37
ORD-0120,Customer 120,657.18
ORD-0121,Customer 121,243.65
ORD-0122,Customer 122,109.44
ORD-0123,Customer 123,471.86
ORD-0124,Customer 124,198.53
ORD-0125,Customer 125,766.09
ORD-0126,Customer 126,287.71
ORD-0127,Customer 127,141.28
ORD-0128,Customer 128,529.64
ORD-0129,Customer 129,320.49
ORD-0130,Customer 130,171.95
ORD-0131,Customer 131,699.84
ORD-0132,Customer 132,254.62
ORD-0133,Customer 133,117.13
ORD-0134,Customer 134,459.27
ORD-0135,Customer 135,211.86
ORD-0136,Customer 136,788.53
ORD-0137,Customer 137,297.44
ORD-0138,Customer 138,153.69
ORD-0139,Customer 139,571.32
ORD-0140,Customer 140,329.58
ORD-0141,Customer 141,180.74
ORD-0142,Customer 142,739.15
ORD-0143,Customer 143,265.83
ORD-0144,Customer 144,122.94
ORD-0145,Customer 145,492.68
ORD-0146,Customer 146,218.37
ORD-0147,Customer 147,824.91
ORD-0148,Customer 148,303.11
ORD-0149,Customer 149,145.52
ORD-0150,Customer 150,552.76
ORD-0151,Customer 151,341.29
ORD-0152,Customer 152,189.66
ORD-0153,Customer 153,708.47
ORD-0154,Customer 154,276.91
ORD-0155,Customer 155,130.85
ORD-0156,Customer 156,467.54
ORD-0157,Customer 157,225.43
ORD-0158,Customer 158,796.28
ORD-0159,Customer 159,311.75
ORD-0160,Customer 160,157.94
ORD-0161,Customer 161,581.16
ORD-0162,Customer 162,346.83
ORD-0163,Customer 163,197.88
ORD-0164,Customer 164,749.62
ORD-0165,Customer 165,283.14
ORD-0166,Customer 166,134.96
ORD-0167,Customer 167,505.29
ORD-0168,Customer 168,233.67
ORD-0169,Customer 169,834.45
ORD-0170,Customer 170,318.08
ORD-0171,Customer 171,149.58
ORD-0172,Customer 172,564.73
ORD-0173,Customer 173,354.61
ORD-0174,Customer 174,206.27
ORD-0175,Customer 175,723.84
ORD-0176,Customer 176,291.36
ORD-0177,Customer 177,138.49
ORD-0178,Customer 178,481.57
ORD-0179,Customer 179,240.86
ORD-0180,Customer 180,847.19
ORD-0181,Customer 181,124.75
ORD-0182,Customer 182,259.38
ORD-0183,Customer 183,92.64
ORD-0184,Customer 184,421.93
ORD-0185,Customer 185,176.58
ORD-0186,Customer 186,642.27
ORD-0187,Customer 187,296.84
ORD-0188,Customer 188,150.61
ORD-0189,Customer 189,789.35
ORD-0190,Customer 190,228.17
ORD-0191,Customer 191,105.82
ORD-0192,Customer 192,455.68
ORD-0193,Customer 193,188.26
ORD-0194,Customer 194,726.94
ORD-0195,Customer 195,269.71
ORD-0196,Customer 196,127.49
ORD-0197,Customer 197,597.82
ORD-0198,Customer 198,340.56
ORD-0199,Customer 199,162.45
ORD-0200,Customer 200,661.37
ORD-0201,Customer 201,245.22
ORD-0202,Customer 202,110.93
ORD-0203,Customer 203,474.15
ORD-0204,Customer 204,199.84
ORD-0205,Customer 205,771.46
ORD-0206,Customer 206,289.12
ORD-0207,Customer 207,142.36
ORD-0208,Customer 208,533.81
ORD-0209,Customer 209,322.74
ORD-0210,Customer 210,173.27
ORD-0211,Customer 211,704.28
ORD-0212,Customer 212,256.18
ORD-0213,Customer 213,118.47
ORD-0214,Customer 214,462.59
ORD-0215,Customer 215,213.41
ORD-0216,Customer 216,792.16
ORD-0217,Customer 217,298.93
ORD-0218,Customer 218,154.82
ORD-0219,Customer 219,574.68
ORD-0220,Customer 220,331.24
ORD-0221,Customer 221,181.96
ORD-0222,Customer 222,743.89
ORD-0223,Customer 223,267.12
ORD-0224,Customer 224,123.88
ORD-0225,Customer 225,496.33
ORD-0226,Customer 226,219.94
ORD-0227,Customer 227,828.57
ORD-0228,Customer 228,304.69
ORD-0229,Customer 229,146.73
ORD-0230,Customer 230,555.91
ORD-0231,Customer 231,342.88
ORD-0232,Customer 232,190.74
ORD-0233,Customer 233,712.34
ORD-0234,Customer 234,278.46
ORD-0235,Customer 235,131.92
ORD-0236,Customer 236,469.83
ORD-0237,Customer 237,226.91
ORD-0238,Customer 238,799.45
ORD-0239,Customer 239,313.26
ORD-0240,Customer 240,158.63
ORD-0241,Customer 241,584.39
ORD-0242,Customer 242,348.27
ORD-0243,Customer 243,198.94
ORD-0244,Customer 244,753.18
ORD-0245,Customer 245,284.71
ORD-0246,Customer 246,135.84
ORD-0247,Customer 247,508.72
ORD-0248,Customer 248,234.96
ORD-0249,Customer 249,838.29
ORD-0250,Customer 250,319.57
ORD-0251,Customer 251,150.42
ORD-0252,Customer 252,567.84
ORD-0253,Customer 253,356.19
ORD-0254,Customer 254,207.58
ORD-0255,Customer 255,727.41
ORD-0256,Customer 256,292.83
ORD-0257,Customer 257,139.37
ORD-0258,Customer 258,484.95
ORD-0259,Customer 259,242.31
ORD-0260,Customer 260,851.63
ORD-0261,Customer 261,125.84
ORD-0262,Customer 262,260.97
ORD-0263,Customer 263,93.76
ORD-0264,Customer 264,425.28
ORD-0265,Customer 265,177.96
ORD-0266,Customer 266,645.72
ORD-0267,Customer 267,298.21
